,gene_ids,feature_types,genome,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
LINC01128,ENSG00000228794,Gene Expression,GRCh38,False,False,False,285,0.059895832,0.05817063,94.29086538461539,299.0,5.7037826
LINC00115,ENSG00000225880,Gene Expression,GRCh38,False,False,False,92,0.018629808,0.018458398,98.15705128205127,93.0,4.543295
FAM41C,ENSG00000230368,Gene Expression,GRCh38,False,False,False,51,0.010216346,0.010164512,98.97836538461539,51.0,3.9512436
AL645608.6,ENSG00000272438,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL645608.2,ENSG00000230699,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
AL645608.4,ENSG00000241180,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
LINC02593,ENSG00000223764,Gene Expression,GRCh38,False,False,False,330,0.072516024,0.07000731,93.38942307692307,362.0,5.894403
SAMD11,ENSG00000187634,Gene Expression,GRCh38,False,False,False,969,0.2520032,0.22474483,80.5889423076923,1258.0,7.138073
NOC2L,ENSG00000188976,Gene Expression,GRCh38,False,False,False,2065,0.5969551,0.46809876,58.633814102564095,2980.0,8.000014
KLHL17,ENSG00000187961,Gene Expression,GRCh38,False,False,False,604,0.1338141,0.12558725,87.90064102564102,668.0,6.505784
PLEKHN1,ENSG00000187583,Gene Expression,GRCh38,False,False,False,172,0.035857372,0.035229463,96.55448717948718,179.0,5.192957
PERM1,ENSG00000187642,Gene Expression,GRCh38,False,False,False,126,0.025440706,0.025122477,97.47596153846155,127.0,4.8520303
AL645608.7,ENSG00000272512,Gene Expression,GRCh38,False,False,False,175,0.036258012,0.03561616,96.49439102564102,181.0,5.2040067
HES4,ENSG00000188290,Gene Expression,GRCh38,False,False,False,3290,1.5134214,0.9216449,34.09455128205128,7555.0,8.930098
ISG15,ENSG00000187608,Gene Expression,GRCh38,False,False,False,4935,15.042869,2.7752645,1.1418269230769273,75094.0,11.226509
AL645608.1,ENSG00000224969,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AGRN,ENSG00000188157,Gene Expression,GRCh38,False,False,False,1462,0.38421473,0.325133,70.71314102564102,1918.0,7.5595593
AL645608.5,ENSG00000242590,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL645608.8,ENSG00000273443,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
RNF223,ENSG00000237330,Gene Expression,GRCh38,False,False,False,152,0.03104968,0.03057739,96.9551282051282,155.0,5.049856
C1orf159,ENSG00000131591,Gene Expression,GRCh38,False,False,False,753,0.17227565,0.15894686,84.91586538461539,860.0,6.7580943
AL390719.3,ENSG00000285812,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
LINC01342,ENSG00000223823,Gene Expression,GRCh38,False,False,False,96,0.01963141,0.019441199,98.07692307692307,98.0,4.59512
AL390719.2,ENSG00000272141,Gene Expression,GRCh38,False,False,False,490,0.107171476,0.10180854,90.18429487179486,535.0,6.2841344
TTLL10-AS1,ENSG00000205231,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TTLL10,ENSG00000162571,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
TNFRSF18,ENSG00000186891,Gene Expression,GRCh38,False,False,False,1376,0.36057693,0.30790883,72.43589743589743,1800.0,7.4960976
TNFRSF4,ENSG00000186827,Gene Expression,GRCh38,False,False,False,1015,0.2734375,0.24171993,79.66746794871796,1365.0,7.219642
SDF4,ENSG00000078808,Gene Expression,GRCh38,False,False,False,3079,1.1694711,0.77448344,38.32131410256411,5838.0,8.672315
B3GALT6,ENSG00000176022,Gene Expression,GRCh38,False,False,False,1199,0.29547277,0.2588757,75.98157051282051,1475.0,7.297091
C1QTNF12,ENSG00000184163,Gene Expression,GRCh38,False,False,False,69,0.014022436,0.013925031,98.61778846153845,70.0,4.26268
AL162741.1,ENSG00000260179,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
UBE2J2,ENSG00000160087,Gene Expression,GRCh38,False,False,False,1745,0.4679487,0.38386598,65.04407051282051,2336.0,7.7566233
LINC01786,ENSG00000230415,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
SCNN1D,ENSG00000162572,Gene Expression,GRCh38,False,False,False,314,0.06710737,0.0649516,93.7099358974359,335.0,5.817111
ACAP3,ENSG00000131584,Gene Expression,GRCh38,False,False,False,1440,0.3721955,0.31641203,71.15384615384616,1858.0,7.527794
PUSL1,ENSG00000169972,Gene Expression,GRCh38,False,False,False,1017,0.24298878,0.21751879,79.62740384615384,1213.0,7.101676
INTS11,ENSG00000127054,Gene Expression,GRCh38,False,False,False,2613,0.8541667,0.6174354,47.65625,4264.0,8.358197
AL139287.1,ENSG00000240731,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CPTP,ENSG00000224051,Gene Expression,GRCh38,False,False,False,1038,0.24619392,0.22009404,79.20673076923077,1229.0,7.1147695
TAS1R3,ENSG00000169962,Gene Expression,GRCh38,False,False,False,80,0.017027244,0.016883906,98.3974358974359,85.0,4.454347
DVL1,ENSG00000107404,Gene Expression,GRCh38,False,False,False,1557,0.41786858,0.34915474,68.81009615384616,2086.0,7.6434827
MXRA8,ENSG00000162576,Gene Expression,GRCh38,False,False,False,3184,1.2830529,0.82551354,36.21794871794872,6405.0,8.764991
AURKAIP1,ENSG00000175756,Gene Expression,GRCh38,False,False,False,3870,1.9835737,1.0931218,22.47596153846154,9902.0,9.200593
CCNL2,ENSG00000221978,Gene Expression,GRCh38,False,False,False,2533,0.8629808,0.6221778,49.25881410256411,4308.0,8.368462
MRPL20-AS1,ENSG00000224870,Gene Expression,GRCh38,False,False,False,693,0.15284455,0.1422324,86.11778846153845,763.0,6.638568
MRPL20,ENSG00000242485,Gene Expression,GRCh38,False,False,False,3202,1.3279247,0.8449772,35.857371794871796,6629.0,8.79936
AL391244.2,ENSG00000272455,Gene Expression,GRCh38,False,False,False,69,0.014022436,0.013925031,98.61778846153845,70.0,4.26268
ANKRD65,ENSG00000235098,Gene Expression,GRCh38,False,False,False,271,0.056891024,0.055331603,94.5713141025641,284.0,5.652489
AL391244.1,ENSG00000225905,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
TMEM88B,ENSG00000205116,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01770,ENSG00000225285,Gene Expression,GRCh38,False,False,False,84,0.017628206,0.01747463,98.3173076923077,88.0,4.4886365
VWA1,ENSG00000179403,Gene Expression,GRCh38,False,False,False,3514,1.7580128,1.0145104,29.607371794871796,8776.0,9.07989
ATAD3C,ENSG00000215915,Gene Expression,GRCh38,False,False,False,216,0.045272436,0.044277556,95.67307692307693,226.0,5.42495
ATAD3B,ENSG00000160072,Gene Expression,GRCh38,False,False,False,1125,0.2742388,0.24234898,77.4639423076923,1369.0,7.222566
ATAD3A,ENSG00000197785,Gene Expression,GRCh38,False,False,False,1457,0.3661859,0.31202284,70.81330128205127,1828.0,7.5115247
TMEM240,ENSG00000205090,Gene Expression,GRCh38,False,False,False,112,0.0234375,0.023167059,97.75641025641025,117.0,4.7706847
SSU72,ENSG00000160075,Gene Expression,GRCh38,False,False,False,3089,1.223157,0.79892826,38.12099358974359,6106.0,8.717191
AL645728.1,ENSG00000215014,Gene Expression,GRCh38,False,False,False,22,0.0044070515,0.004397369,99.55929487179486,22.0,3.1354942
FNDC10,ENSG00000228594,Gene Expression,GRCh38,False,False,False,1405,0.3533654,0.30259436,71.85496794871796,1764.0,7.475906
AL691432.4,ENSG00000286989,Gene Expression,GRCh38,False,False,False,49,0.010016026,0.009966198,99.01842948717949,50.0,3.9318256
AL691432.2,ENSG00000272106,Gene Expression,GRCh38,False,False,False,118,0.024439102,0.024145246,97.63621794871796,122.0,4.8121843
MIB2,ENSG00000197530,Gene Expression,GRCh38,False,False,False,1182,0.28465545,0.25049055,76.32211538461539,1421.0,7.2598195
MMP23B,ENSG00000189409,Gene Expression,GRCh38,False,False,False,272,0.056290064,0.05476283,94.55128205128204,281.0,5.641907
CDK11B,ENSG00000248333,Gene Expression,GRCh38,False,False,False,131,0.02724359,0.026879089,97.37580128205127,136.0,4.919981
FO704657.1,ENSG00000272004,Gene Expression,GRCh38,False,False,False,86,0.017227564,0.017080853,98.27724358974359,86.0,4.465908
SLC35E2B,ENSG00000189339,Gene Expression,GRCh38,False,False,False,1385,0.3603766,0.30776158,72.25560897435898,1799.0,7.495542
CDK11A,ENSG00000008128,Gene Expression,GRCh38,False,False,False,280,0.057491988,0.055900056,94.39102564102564,287.0,5.6629605
SLC35E2A,ENSG00000215790,Gene Expression,GRCh38,False,False,False,356,0.077924676,0.0750376,92.86858974358975,389.0,5.966147
NADK,ENSG00000008130,Gene Expression,GRCh38,False,False,False,1737,0.46754807,0.38359302,65.20432692307692,2334.0,7.7557673
GNB1,ENSG00000078369,Gene Expression,GRCh38,False,False,False,3435,1.58754,0.9507076,31.189903846153843,7925.0,8.977903
AL109917.1,ENSG00000231050,Gene Expression,GRCh38,False,False,False,35,0.007011218,0.0069867535,99.2988782051282,35.0,3.583519
CALML6,ENSG00000169885,Gene Expression,GRCh38,False,False,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887
TMEM52,ENSG00000178821,Gene Expression,GRCh38,False,False,False,109,0.022235576,0.02199197,97.81650641025641,111.0,4.7184987
CFAP74,ENSG00000142609,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
AL391845.2,ENSG00000233542,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
GABRD,ENSG00000187730,Gene Expression,GRCh38,False,False,False,165,0.035857372,0.035229463,96.69471153846155,179.0,5.192957
AL391845.1,ENSG00000226969,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
PRKCZ,ENSG00000067606,Gene Expression,GRCh38,False,False,False,870,0.19891827,0.1814197,82.57211538461539,993.0,6.901737
AL590822.2,ENSG00000271806,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
PRKCZ-AS1,ENSG00000182873,Gene Expression,GRCh38,False,False,False,19,0.0038060897,0.003798865,99.61939102564102,19.0,2.9957323
FAAP20,ENSG00000162585,Gene Expression,GRCh38,False,False,False,2524,0.83453524,0.6067912,49.43910256410257,4166.0,8.334951
AL590822.1,ENSG00000234396,Gene Expression,GRCh38,False,False,False,15,0.0030048077,0.0030003022,99.69951923076923,15.0,2.7725887
SKI,ENSG00000157933,Gene Expression,GRCh38,False,False,False,510,0.11057692,0.104879625,89.78365384615384,552.0,6.315358
AL590822.3,ENSG00000287356,Gene Expression,GRCh38,False,False,False,116,0.024038462,0.023754086,97.67628205128204,120.0,4.7957907
MORN1,ENSG00000116151,Gene Expression,GRCh38,False,False,False,419,0.090745196,0.086861126,91.60657051282051,453.0,6.1180973
AL589739.1,ENSG00000272161,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
AL513477.2,ENSG00000272420,Gene Expression,GRCh38,False,False,False,69,0.014022436,0.013925031,98.61778846153845,70.0,4.26268
RER1,ENSG00000157916,Gene Expression,GRCh38,False,False,False,2879,1.05629,0.7209034,42.327724358974365,5273.0,8.570544
PEX10,ENSG00000157911,Gene Expression,GRCh38,False,False,False,1114,0.26883012,0.23809531,77.68429487179486,1342.0,7.202661
PLCH2,ENSG00000149527,Gene Expression,GRCh38,False,False,False,227,0.04747596,0.046383422,95.45272435897436,237.0,5.4722705
AL139246.1,ENSG00000224387,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
AL139246.4,ENSG00000229393,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PANK4,ENSG00000157881,Gene Expression,GRCh38,False,False,False,572,0.12560096,0.11831708,88.54166666666666,627.0,6.44254
HES5,ENSG00000197921,Gene Expression,GRCh38,False,False,False,41,0.009415064,0.009371019,99.1786858974359,47.0,3.871201
AL139246.5,ENSG00000272449,Gene Expression,GRCh38,False,False,False,663,0.14983974,0.13962258,86.71875,748.0,6.618739
TNFRSF14-AS1,ENSG00000238164,Gene Expression,GRCh38,False,False,False,230,0.04707532,0.046000868,95.3926282051282,235.0,5.463832
TNFRSF14,ENSG00000157873,Gene Expression,GRCh38,False,False,False,2254,0.71033657,0.5366902,54.84775641025641,3546.0,8.173858
AL139246.3,ENSG00000228037,Gene Expression,GRCh38,False,False,False,30,0.006209936,0.006190734,99.39903846153845,31.0,3.465736
PRXL2B,ENSG00000157870,Gene Expression,GRCh38,False,False,False,1480,0.37159455,0.31597397,70.3525641025641,1855.0,7.526179
MMEL1,ENSG00000142606,Gene Expression,GRCh38,False,False,False,684,0.16586539,0.15346363,86.29807692307692,828.0,6.72022
AL831784.1,ENSG00000237058,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TTC34,ENSG00000215912,Gene Expression,GRCh38,False,False,False,55,0.011217949,0.0111554945,98.89823717948718,56.0,4.0430512
AC242022.2,ENSG00000285945,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC242022.1,ENSG00000283259,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL592464.2,ENSG00000233234,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL592464.3,ENSG00000287396,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL592464.1,ENSG00000231630,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL589702.1,ENSG00000284745,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ACTRT2,ENSG00000169717,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
PRDM16-DT,ENSG00000177133,Gene Expression,GRCh38,False,False,False,35,0.0078125,0.0077821403,99.2988782051282,39.0,3.6888795
PRDM16,ENSG00000142611,Gene Expression,GRCh38,False,False,False,29,0.005809295,0.005792486,99.41907051282051,29.0,3.4011974
AL008733.1,ENSG00000226286,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL590438.1,ENSG00000272235,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL354743.2,ENSG00000287828,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
AL354743.1,ENSG00000286518,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
ARHGEF16,ENSG00000130762,Gene Expression,GRCh38,False,False,False,928,0.22015224,0.19897564,81.41025641025641,1099.0,7.0030656
AL512413.1,ENSG00000272088,Gene Expression,GRCh38,False,False,False,23,0.004607372,0.0045967908,99.53926282051282,23.0,3.1780539
MEGF6,ENSG00000162591,Gene Expression,GRCh38,False,False,False,848,0.19971955,0.18208782,83.01282051282051,997.0,6.905753
AL513320.1,ENSG00000238260,Gene Expression,GRCh38,False,False,False,5,0.0010016026,0.0010011013,99.89983974358975,5.0,1.7917595
TPRG1L,ENSG00000158109,Gene Expression,GRCh38,False,False,False,1178,0.286258,0.25173724,76.40224358974359,1429.0,7.2654295
WRAP73,ENSG00000116213,Gene Expression,GRCh38,False,False,False,1262,0.3125,0.2719337,74.71955128205127,1560.0,7.3530817
TP73,ENSG00000078900,Gene Expression,GRCh38,False,False,False,357,0.079126604,0.07615201,92.8485576923077,395.0,5.9814143
AL136528.1,ENSG00000227589,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL136528.2,ENSG00000235131,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CCDC27,ENSG00000162592,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
SMIM1,ENSG00000235169,Gene Expression,GRCh38,False,False,False,1601,0.43790063,0.36318415,67.9286858974359,2186.0,7.690286
LRRC47,ENSG00000130764,Gene Expression,GRCh38,False,False,False,1473,0.38321313,0.32440916,70.49278846153845,1913.0,7.5569506
AL365330.1,ENSG00000272153,Gene Expression,GRCh38,False,False,False,6,0.0012019231,0.0012012013,99.8798076923077,6.0,1.9459101
CEP104,ENSG00000116198,Gene Expression,GRCh38,False,False,False,703,0.15765224,0.14639403,85.91746794871796,787.0,6.669498
DFFB,ENSG00000169598,Gene Expression,GRCh38,False,False,False,197,0.040464744,0.039667483,96.0536858974359,202.0,5.313206
C1orf174,ENSG00000198912,Gene Expression,GRCh38,False,False,False,464,0.09955929,0.09490946,90.7051282051282,497.0,6.2106
LINC01134,ENSG00000236423,Gene Expression,GRCh38,False,False,False,20,0.0040064105,0.003998406,99.59935897435898,20.0,3.0445225
LINC01346,ENSG00000233304,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01345,ENSG00000226374,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02780,ENSG00000284668,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL805961.1,ENSG00000284703,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01777,ENSG00000235054,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL355602.1,ENSG00000284694,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
Z98747.1,ENSG00000227169,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC01646,ENSG00000232596,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AJAP1,ENSG00000196581,Gene Expression,GRCh38,False,False,False,17,0.0034054487,0.0033996634,99.65945512820514,17.0,2.8903718
Z98886.1,ENSG00000287586,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
BX005132.1,ENSG00000284739,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02781,ENSG00000284674,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
LINC02782,ENSG00000231510,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL139823.1,ENSG00000284616,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
Z98259.3,ENSG00000284692,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
Z98259.2,ENSG00000284666,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
Z98259.1,ENSG00000260972,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL365255.1,ENSG00000236948,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
NPHP4,ENSG00000131697,Gene Expression,GRCh38,False,False,False,361,0.077524036,0.07466585,92.76842948717949,387.0,5.961005
KCNAB2,ENSG00000069424,Gene Expression,GRCh38,False,False,False,999,0.24599358,0.21993327,79.98798076923077,1228.0,7.113956
CHD5,ENSG00000116254,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
RPL22,ENSG00000116251,Gene Expression,GRCh38,False,True,False,4641,6.9565306,2.073993,7.03125,34727.0,10.455301
AL031847.1,ENSG00000226944,Gene Expression,GRCh38,False,False,False,157,0.032251604,0.03174244,96.85496794871796,161.0,5.0875964
RNF207,ENSG00000158286,Gene Expression,GRCh38,False,False,False,478,0.10436699,0.09927231,90.42467948717949,521.0,6.2576675
ICMT,ENSG00000116237,Gene Expression,GRCh38,False,False,False,1449,0.37540063,0.31874505,70.9735576923077,1874.0,7.536364
LINC00337,ENSG00000225077,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
HES3,ENSG00000173673,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
GPR153,ENSG00000158292,Gene Expression,GRCh38,False,False,False,271,0.055889424,0.054383468,94.5713141025641,279.0,5.6347895
ACOT7,ENSG00000097021,Gene Expression,GRCh38,False,False,False,1535,0.40645033,0.34106904,69.25080128205127,2029.0,7.615791
AL031848.2,ENSG00000271746,Gene Expression,GRCh38,False,False,False,32,0.0064102565,0.006389798,99.35897435897436,32.0,3.4965076
HES2,ENSG00000069812,Gene Expression,GRCh38,False,False,False,26,0.0052083335,0.005194817,99.47916666666666,26.0,3.295837
ESPN,ENSG00000187017,Gene Expression,GRCh38,False,False,False,1272,0.3507612,0.3006683,74.51923076923077,1751.0,7.4685135
AL031848.1,ENSG00000231868,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
TNFRSF25,ENSG00000215788,Gene Expression,GRCh38,False,False,False,886,0.20913461,0.1899049,82.25160256410257,1044.0,6.951772
PLEKHG5,ENSG00000171680,Gene Expression,GRCh38,False,False,False,315,0.06670673,0.06457608,93.68990384615384,333.0,5.811141
NOL9,ENSG00000162408,Gene Expression,GRCh38,False,False,False,744,0.16766827,0.15500882,85.09615384615384,837.0,6.731018
TAS1R1,ENSG00000173662,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
ZBTB48,ENSG00000204859,Gene Expression,GRCh38,False,False,False,1091,0.26442307,0.23461595,78.14503205128204,1320.0,7.1861444
KLHL21,ENSG00000162413,Gene Expression,GRCh38,False,False,False,930,0.2177484,0.19700359,81.3701923076923,1087.0,6.9920964
PHF13,ENSG00000116273,Gene Expression,GRCh38,False,False,False,705,0.15885417,0.14743173,85.87740384615384,793.0,6.6770835
THAP3,ENSG00000041988,Gene Expression,GRCh38,False,False,False,839,0.19170673,0.1753865,83.19310897435898,957.0,6.8648477
DNAJC11,ENSG00000007923,Gene Expression,GRCh38,False,False,False,1264,0.3195112,0.27726138,74.67948717948718,1595.0,7.3752556
LINC01672,ENSG00000228750,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL591163.1,ENSG00000284744,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CAMTA1-DT,ENSG00000237436,Gene Expression,GRCh38,False,False,False,45,0.009415064,0.009371019,99.0985576923077,47.0,3.871201
CAMTA1,ENSG00000171735,Gene Expression,GRCh38,False,False,False,1769,0.5020032,0.40679967,64.56330128205127,2506.0,7.8268423
AL512330.1,ENSG00000237365,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
CAMTA1-IT1,ENSG00000237402,Gene Expression,GRCh38,False,False,False,18,0.0036057692,0.003599284,99.63942307692307,18.0,2.944439
Z97987.1,ENSG00000237728,Gene Expression,GRCh38,False,False,False,1,0.00020032052,0.00020030045,99.97996794871796,1.0,0.6931472
AL365194.1,ENSG00000225126,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL359881.3,ENSG00000270171,Gene Expression,GRCh38,False,False,False,7,0.0014022436,0.0014012614,99.85977564102564,7.0,2.0794415
AL359881.2,ENSG00000270035,Gene Expression,GRCh38,False,False,False,24,0.0048076925,0.0047961725,99.51923076923077,24.0,3.218876
AL359881.1,ENSG00000269978,Gene Expression,GRCh38,False,False,False,74,0.015024038,0.014912295,98.5176282051282,75.0,4.3307333
VAMP3,ENSG00000049245,Gene Expression,GRCh38,False,False,False,1820,0.5098157,0.41198757,63.54166666666667,2545.0,7.842279
Z98884.2,ENSG00000269925,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
PER3,ENSG00000049246,Gene Expression,GRCh38,False,False,False,668,0.15204327,0.14153711,86.61858974358975,759.0,6.6333184
Z98884.1,ENSG00000236266,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
UTS2,ENSG00000049247,Gene Expression,GRCh38,False,False,False,131,0.028245192,0.027853653,97.37580128205127,141.0,4.955827
TNFRSF9,ENSG00000049249,Gene Expression,GRCh38,False,False,False,69,0.014423077,0.014320054,98.61778846153845,72.0,4.2904596
PARK7,ENSG00000116288,Gene Expression,GRCh38,False,False,False,3972,2.6498396,1.2946832,20.432692307692314,13228.0,9.490167
AL034417.4,ENSG00000284747,Gene Expression,GRCh38,False,False,False,10,0.0020032052,0.0020012015,99.79967948717949,10.0,2.3978953
AL034417.3,ENSG00000284716,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
ERRFI1,ENSG00000116285,Gene Expression,GRCh38,False,False,False,629,0.15124199,0.14084135,87.39983974358975,755.0,6.6280413
AL034417.2,ENSG00000238290,Gene Expression,GRCh38,False,False,False,4,0.00080128206,0.0008009612,99.9198717948718,4.0,1.609438
LINC01714,ENSG00000227634,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
